title,count
产品经理,1843
算法工程师,1174
前端开发工程师,1023
AI 产品经理,1001
软件工程师,745
实习生,660
项目经理,637
高级产品经理,516
HRBP,512
软件开发工程师,462
测试工程师,364
研发工程师,340
嵌入式软件工程师,334
前端开发,319
机械工程师,309
高级软件工程师,308
技术总监,305
结构工程师,299
硬件工程师,290
前端工程师,289
Software Engineer,282
产品总监,281
后端开发工程师,273
Research Intern,271
产品负责人,265
产品运营,253
数据分析师,236
高级算法工程师,225
技术经理,221
创始人,218
全栈工程师,215
研究员,209
高级工程师,209
测试开发工程师,208
架构师,204
研究助理,203
Java 开发工程师,195
总经理,193
iOS 开发工程师,191
高级开发工程师,190
CTO,187
联合创始人,185
软件测试工程师,180
算法实习生,179
技术负责人,175
运营总监,173
副总经理,172
Java,168
投资经理,167
机械结构工程师,162
开发工程师,161
UI 设计师,161
后端开发,161
客户经理,161
市场总监,159
财务总监,158
人力资源总监,156
副总裁,153
Research Assistant,152
市场经理,141
NLP 算法工程师,137
高级项目经理,137
Senior Software Engineer,136
高级经理,135
销售经理,134
记者,132
算法专家,131
产品专家,130
高级研发工程师,129
销售总监,127
总监,125
咨询顾问,122
品牌经理,121
大模型算法工程师,119
内容运营,119
人力资源经理,118
高级投资经理,117
资深产品经理,117
项目负责人,113
合伙人,112
工程师,112
高级前端开发工程师,110
负责人,110
全栈开发工程师,110
财务经理,110
猎头顾问,110
Android 开发工程师,109
技术专家,107
后端工程师,106
研发经理,106
运营经理,106
资深研发工程师,105
数据产品经理,104
算法研究员,104
经理,104
项目总监,103
研发总监,99
工业设计师,97
公关经理,96
系统工程师,95
数据科学家,94
高级公关经理,92
分析师,91
项目经理／主管,88
高级前端工程师,88
web 前端,88
Intern,87
高级市场经理,87
交互设计师,87
投资总监,85
博士后,82
高级客户经理,82
高级软件开发工程师,82
电气工程师,81
Product Manager,81
web 前端工程师,80
公关总监,80
资深算法工程师,79
大数据开发工程师,79
招聘经理,78
助理研究员,75
HRD,74
部门经理,74
制片人,73
博士研究生,72
CEO,71
前端负责人,71
高级结构工程师,70
Machine Learning Engineer,70
研究实习生,67
机器学习工程师,67
高级咨询顾问,66
设计总监,66
图像算法工程师,65
商业分析师,65
高级算法专家,65
管理培训生,65
Research Scientist,65
科研助理,65
Software Engineer Intern,64
推荐算法工程师,64
用户体验设计师,64
博士后研究员,63
用户运营,63
平台产品经理,63
AI 算法工程师,62
产品经理实习生,62
新媒体运营,62
iOS 开发,61
热设计工程师,61
系统架构师,61
java 开发工程师,61
高级研究员,61
招聘主管,61
产品策划,60
机械设计工程师,59
大客户经理,58
UI/UX 设计,58
视觉设计师,57
顾问,56
人力资源主管,56
测试开发,56
品牌总监,56
Consultant,56
投资分析师,55
技术合伙人,55
客户总监,55
项目经理/主管,55
运营负责人,55
电子工程师,54
Java 工程师,54
高级总监,54
总经理助理,54
编辑,53
人力资源专员,53
后端研发,53
UI/UX 设计师,52
品牌公关总监,52
软件测试,52
iOs,52
高级后端开发工程师,52
Python 开发工程师,51
项目管理,51
高级品牌经理,51
Java 研发工程师,51
高级硬件工程师,51
技术支持工程师,50
数据工程师,50
设计师,50
Researcher,50
高级测试工程师,50
算法负责人,50
工艺工程师,50
高级顾问,50
产品设计师,50
助理工程师,49
商务总监,49
品牌公关,49
媒介经理,49
策略产品经理,49
web 前端开发工程师,49
供应链总监,48
运维工程师,48
CFO,48
主任工程师,48
编导,47
高级 AI 产品经理,47
资深工程师,47
开发经理,47
资深前端工程师,47
AI 工程师,47
后台开发工程师,46
COO,46
C/C++,46
全栈开发,46
高级 UI 设计师,46
部门负责人,46
用户增长负责人,45
软件开发实习生,45
审计经理,45
投资实习生,44
后端研发工程师,44
创作者运营,44
视觉算法工程师,44
数据开发工程师,44
招聘专员,43
会计,43
市场营销,43
主编,43
嵌入式工程师,43
政府事务总监,42
Data Scientist,42
Team Leader,42
嵌入式软件开发工程师,42
采购主管,42
管培生,41
产品实习生,41
高级交互设计师,41
助教,41
招聘,41
市场营销经理,41
市场专员,41
测试经理,41
Associate,41
副总监,41
软件开发,41
实习研究员,40
人事主管,40
高级数据分析师,39
市场主管,39
主管,39
产品工程师,39
Account Manager,39
律师,39
Tech Lead,38
设计负责人,38
高级技术专家,38
采购总监,38
公关专家,38
Web 前端开发工程师,38
高级运营经理,37
高级分析师,37
Senior Product Manager,37
工业设计,37
海外运营,37
投资分析实习生,37
AI 算法实习生,37
产品运营经理,37
高级机械工程师,37
运营,37
iOS 工程师,37
资深记者,36
UX Designer,36
AI 产品负责人,36
高级产品管理岗,36
web 前端开发,36
数据开发,36
HR,36
UX／交互设计师,36
嵌入式开发工程师,36
Project Manager,36
商务经理,35
资深前端开发工程师,35
采购经理,35
嵌入式软件开发,34
财务负责人,34
前端架构师,34
C++ 开发工程师,34
品牌公关经理,34
网络工程师,34
解决方案架构师,34
HRBP Leader,34
算法总监,34
实习记者,33
招聘专家,33
资深软件工程师,33
教师,33
高级产品专家,33
数据分析,33
Research Engineer,33
高级视觉设计师,33
整合营销,32
CMO,32
总裁／总经理／CEO,32
HRBP 经理,32
AIGC 产品经理,32
高级审计员,32
结构设计工程师,32
区域经理,32
高级全栈开发工程师,32
Founder,32
Designer,32
采购工程师,32
核心开发,32
硬件产品经理,32
计算机视觉算法工程师,32
数据挖掘工程师,32
助理经理,32
golang 后端研发,32
运营主管,32
人力资源经理／主管,31
资深开发工程师,31
服务端开发工程师,31
暑期实习生,31
高级销售经理,31
VP,31
产品合伙人,31
咨询经理,31
人事专员,30
JAVA 后端开发工程师,30
财务主管,30
团队负责人,30
Android,30
产品助理,30
策划总监,30
渠道经理,30
海外销售经理,30
项目工程师,30
Software Developer,30
资深前端开发,29
Manager,29
前端工程师（实习）,29
资深数据分析师,29
设计主管,29
运营副总监,29
社区产品经理,29
技术主管,29
董事会秘书,28
高级财务经理,28
设计经理,28
HRG,28
大数据架构师,28
软件研发工程师,28
销售主管,28
数据科学实习生,28
策划经理,28
Golang,28
UX 设计师,28
营销策划,28
服务端工程师,28
技术部经理,28
B 端产品经理,28
AI 产品运营,28
机械研发工程师,28
增长运营,28
业务负责人,28
导演/编导,28
导演,28
前端研发工程师,27
专利工程师,27
项目主管,27
人力资源高级经理,27
设备工程师,27
数据分析经理,27
材料工程师,27
Android 工程师,27
服务端研发工程师,27
Marketing Manager,27
深度学习算法工程师,27
策略运营,27
Senior Consultant,27
总裁助理,27
董事总经理,27
审计员,27
AI 产品经理实习生,27
销售,27
仿真工程师,27
高级审计师,27
研发负责人,27
项目助理,26
CIO,26
市场负责人,26
Analyst,26
市场部经理,26
创意总监,26
Marketing Specialist,26
PMO,26
策略运营专家,26
首席架构师,26
高级招聘经理,26
增长产品经理,26
商业化产品经理,26
品牌营销经理,26
商业分析,26
讲师,25
技术项目经理,25
光学工程师,25
高级内容运营,25
市场营销策划,25
整合营销经理,25
政府事务经理,25
软件经理,25
驱动开发工程师,25
数据分析实习生,25
高级架构师,25
公关负责人,25
Java 开发,25
Product Designer,25
用户增长运营,24
编剧,24
编导及国际拍客运营,24
业务经理,24
高级量化开发工程师,24
广告算法工程师,24
董事长助理,24
品牌公关负责人,24
软件工程师实习生,24
高级全栈工程师,24
高级咨询经理,24
HRBP Head,24
售前工程师,24
销售工程师,24
投资副总裁,24
Software Development Engineer,24
产品主管,24
大模型算法实习生,24
Web 前端工程师,24
海外运营经理,24
客户执行,24
高级商务经理,24
Senior Engineer,23
高级嵌入式软件工程师,23
电商运营,23
增长负责人,23
技术支持,23
实习,23
副总裁／副总经理／VP,23
python 开发工程师,23
测试主管,23
文案策划,23
高级产品总监,23
高级技术经理,23
Android 开发,22
人工智能算法工程师,22
AI 产品总监,22
海外市场经理,22
内容运营经理,22
软件工程师（实习）,22
公共事务总监,22
人工智能工程师,22
AI Engineer,22
电机工程师,22
解决方案总监,22
Java 软件工程师,22
售后技术支持,22
IT 总监,22
用户产品经理,22
产品 VP,22
java 工程师,22
营销经理,22
技术研发,22
射频工程师,22
品牌主管,22
Applied Scientist Intern,21
行业经理,21
招聘总监,21
产品专员,21
数字营销经理,21
人力资源经理/主管,21
用户增长,21
事业部总经理,21
CAE 工程师,21
ATE 测试工程师,21
前端实习生,21
区域总监,21
技术工程师,21
科员,21
总账会计,21
结构设计师,21
大模型算法,21
后台开发,21
创始人＆CEO,21
招聘负责人,21
产品线负责人,21
人事经理,21
执行导演,20
高级机械设计工程师,20
中台策略产品,20
多模态算法工程师,20
社区运营,20
金融产品经理,20
独立开发者,20
自动化工程师,20
增长运营负责人,20
业务主管,20
硬件测试工程师,20
Research Fellow,20
软件工程实习生,20
研究工程师,20
副主编,20
区域销售经理,20
Staff Engineer,20
解决方案专家,20
iOS 研发工程师,20
集团财务总监,20
运营专家,20
高级后端工程师,20
Product Marketing Manager,20
Senior product designer,19
业务总监,19
Key Account Manager,19
解决方案经理,19
AI 产品专家,19
高级 Java 开发工程师,19
PHP 开发工程师,19
营销总监,19
数据运营,19
硬件开发工程师,19
语音算法工程师,19
战略分析师,19
Algorithm Engineer,19
媒介策划总监,19
副研究员,19
搜索产品经理,19
财务 BP,19
访问学者,19
平面设计师,19
高级数据科学家,19
技术产品经理,19
后端开发实习生,19
投资副总监,19
C++ 研发工程师,19
Java 高级开发工程师,19
活动运营,19
系统架构设计师,19
客户主管,19
审计师,19
JAVA 开发工程师,19
副教授,19
AI 策略产品经理,19
技术员,19
HRVP,19
高级前端开发,18
海外市场,18
研发实习生,18
Senior Data Scientist,18
前端开发实习生,18
英语教师,18
高级公关专家,18
高级产品运营,18
建筑设计师,18
市场推广,18
用户增长产品经理,18
采购经理／主管,18
体验设计专家,18
技术顾问,18
高级技术总监,18
运营经理／主管,18
媒介策划,18
咨询顾问主管,18
nlp 算法工程师,18
媒介策划经理,18
创意视觉设计师,18
战略分析实习生,18
资深技术专家,18
高级猎头顾问,18
高级管理职位,18
招聘实习生,18
游戏策划,18
策划主管,18
产品运营总监,18
Senior Algorithm Engineer,18
实习工程师,18
资深产品设计师,18
研发主管,18
高级解决方案架构师,17
Golang 开发工程师,17
算法工程师（实习）,17
律师助理,17
C++开发工程师,17
HR 负责人,17
内容营销,17
团队主管,17
用户中心产品经理,17
研发人员,17
Assistant Professor,17
渠道销售经理,17
部长,17
iOS 高级开发工程师,17
AD,17
资深后端工程师,17
Full Stack Engineer,17
首席科学家,17
前端工程师 T4,17
AI 开发工程师,17
HRM,17
政府事务高级经理,17
算法开发工程师,17
Research Associate,17
Lead Engineer,17
Business Analyst,17
前端组长,17
程序员,17
硬件项目经理,17
Senior Research Scientist,17
运动控制算法工程师,17
项目组长,17
售前技术支持,17
Senior Researcher,17
自动化测试工程师,17
数据架构师,17
Golang 后端开发工程师,17
资深顾问,17
总裁,17
策略产品,17
Java 高级工程师,17
AI 产品经理（实习）,17
Co-Founder,17
社媒营销策划／社媒运营,17
数据分析专家,16
UGC 产品运营,16
组长,16
媒介策划副总监,16
需求分析师,16
UGC 内容运营,16
机器学习算法工程师,16
高级副总裁,16
人事行政经理,16
质量经理,16
Director,16
市场策划,16
产品运营负责人,16
数据分析工程师,16
机械主管,16
客户主任,16
业务合伙人,16
硕士研究生,16
体验设计师,16
算法团队负责人,16
创始人兼 CEO,16
资深算法专家,16
前端架构师／负责人,16
Assistant Manager,16
硬件测试,16
技术总,16
视觉算法实习生,16
资深软件开发工程师,16
市场活动经理,16
资深咨询顾问,16
用户运营经理,16
IT 经理,16
General Manager,16
主管工程师,16
咨询总监,16
Visiting Scholar,16
政府关系总监,16
高级人力资源经理,16
AI 高级产品经理,16
Java 后端开发,16
质量总监,16
海外社媒运营,16
审计助理,16
建筑师,16
首席财务官,16
投资助理,16
媒介主管,16
项目专员,16
芯片测试工程师,16
HR 实习生,16
系统集成工程师,16
系统测试工程师,16
推荐算法专家,15
执行董事,15
产品运营专家,15
Applied Scientist,15
证券事务代表,15
培训经理,15
结构经理,15
产品运营实习生,15
海外增长负责人,15
高级运营专家,15
后端软件工程师,15
高级工业设计师,15
资深产品运营,15
Python,15
IT 技术支持,15
现场应用工程师,15
UX/交互设计师,15
游戏社区运营,15
HRBP 负责人,15
海外业务负责人,15
大数据工程师,15
硬件研发工程师,15
Engineer,15
Teaching Assistant,15
高级产品设计师,15
市场部负责人,15
内容策略产品经理,15
财务经理／主管,15
量化开发工程师,15
销售代表,15
Staff Software Engineer,15
项目合伙人,15
Data Analyst,15
助理品牌经理,15
外贸业务员,15
AI 解决方案实习生,15
高级市场总监,15
高级热设计工程师,15
媒介总监,15
职员,15
高级推荐算法工程师,15
公关高级经理,15
人力资源专员／助理,15
执行制片人,15
招聘顾问,15
供应链经理,15
行业运营,15
高级后端研发工程师,15
机器人产品经理,15
运维开发工程师,15
核心研发,15
品牌负责人,15
用户研究员,15
运营经理/主管,15
税务经理,14
品牌设计师,14
应用研究,14
C/C++ 开发工程师,14
高级数据工程师,14
其他后端开发,14
前端研发,14
技术 Leader,14
资深体验设计师,14
CFO 首席财务官,14
WEB 前端工程师,14
区域销售总监,14
解决方案工程师,14
市场助理,14
实习算法工程师,14
项目管理工程师,14
实施顾问,14
采购经理/主管,14
高级采购经理,14
机器人算法工程师,14
FPGA 开发工程师,14
用户型产品经理,14
整合营销专家,14
高级产品运营经理,14
副经理,14
Recruiter,14
运营市场经理,14
研发组长,14
服务端研发,14
大模型产品经理,14
国内公关负责人,14
设计工程师,14
高级运营总监,14
创始人/CEO,14
内容运营实习生,14
部门主管,14
Account Executive,14
自主创业,14
产品研发总监,14
自然语言处理工程师,14
品牌营销专家,14
创始合伙人,14
运营专员,14
首席技术官 CTO,14
社交产品运营主管,14
HRBP 高级经理,14
总编,14
经理助理,14
创始人&CEO,14
嵌入式研发工程师,14
销售助理,14
Graduate Research Assistant,14
大客户销售经理,14
Management Trainee,14
数据产品专家,14
材料研发工程师,14
商业化负责人,13
内容运营负责人,13
